grafana  | t=2026-04-05T18:40:36.547924925Z level=info caller=logger.go:214 time=2026-04-05T18:40:36.547900297Z msg="App initialized" app=example
grafana  | t=2026-04-05T18:40:36.548882911Z level=info caller=logger.go:214 time=2026-04-05T18:40:36.548855461Z msg="App initialized" app=plugins
grafana  | t=2026-04-05T18:40:36.54927345Z level=info caller=logger.go:214 time=2026-04-05T18:40:36.549113787Z msg="App initialized" app=alerting-notifications
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.549505377Z level=info msg=starting module=plugins.store
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.550434654Z level=info msg=starting module=plugin.backgroundinstaller
grafana  | logger=plugin.backgroundinstaller t=2026-04-05T18:40:36.550518565Z level=info msg="Plugins installed" plugins=[]
grafana  | logger=plugin.backgroundinstaller t=2026-04-05T18:40:36.550562523Z level=info msg="Installing plugins" plugins="[{ID:grafana-pyroscope-app Version: URL:} {ID:grafana-exploretraces-app Version: URL:} {ID:grafana-metricsdrilldown-app Version: URL:} {ID:grafana-lokiexplore-app Version: URL:}]"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.551665188Z level=info msg=starting module=provisioning
grafana  | logger=provisioning.datasources t=2026-04-05T18:40:36.603013054Z level=info msg="deleted datasource based on configuration" name=Prometheus
grafana  | logger=provisioning.datasources t=2026-04-05T18:40:36.605564552Z level=info msg="inserting datasource from configuration" name=Prometheus uid=PBFA97CFB590B2093
grafana  | logger=provisioning.plugins t=2026-04-05T18:40:36.673785121Z level=error msg="Failed to read plugin provisioning files from directory" path=/etc/grafana/provisioning/plugins error="open /etc/grafana/provisioning/plugins: no such file or directory"
grafana  | logger=provisioning.alerting t=2026-04-05T18:40:36.678251999Z level=error msg="can't read alerting provisioning files from directory" path=/etc/grafana/provisioning/alerting error="open /etc/grafana/provisioning/alerting: no such file or directory"
grafana  | logger=provisioning.alerting t=2026-04-05T18:40:36.678834955Z level=info msg="starting to provision alerting"
grafana  | logger=provisioning.alerting t=2026-04-05T18:40:36.679428733Z level=info msg="finished to provision alerting"
grafana  | logger=dashboard-service t=2026-04-05T18:40:36.686501863Z level=info msg="not eligible for automated cleanup" reason="dashboard has no folder: day18-dashboards"
grafana  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=1 reason=search t=2026-04-05T18:40:36.694166234Z level=info msg="Building index using memory"
grafana  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=1 reason=search t=2026-04-05T18:40:36.70411605Z level=info msg="Finished building index" elapsed=9.44738ms listRV=1775336379966997
grafana  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=1 reason=search t=2026-04-05T18:40:36.704648496Z level=info msg="Storing index in cache" key="{Namespace:default Group:dashboard.grafana.app Resource:dashboards}" expiration=2026-04-05T18:50:36.704643848Z
grafana  | logger=provisioning.dashboard t=2026-04-05T18:40:36.716302246Z level=info msg="starting to provision dashboards"
grafana  | logger=provisioning.dashboard t=2026-04-05T18:40:36.73295614Z level=info msg="finished to provision dashboards"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.742644856Z level=info msg=starting module=*appregistry.Service
grafana  | logger=app-registry t=2026-04-05T18:40:36.743318976Z level=info msg="app registry initialized"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743676775Z level=info msg=starting module=*metric.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743690357Z level=info msg=starting module=*live.GrafanaLive
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743701589Z level=info msg=starting module=*angulardetectorsprovider.Dynamic
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743708792Z level=info msg=starting module=*authimpl.UserAuthTokenService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743715638Z level=info msg=starting module=*updatemanager.PluginsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743788244Z level=info msg=starting module=*service.DashboardServiceImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743808594Z level=info msg=starting module=*statscollector.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743822518Z level=info msg=starting module=*dynamic.KeyRetriever
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743834395Z level=info msg=starting module=*api.HTTPServer
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743840368Z level=info msg=starting module=*anonimpl.AnonDeviceService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743845343Z level=info msg=starting module=*store.standardStorageService
grafana  | logger=grafanaStorageLogger t=2026-04-05T18:40:36.77025282Z level=info msg="Storage starting"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743858933Z level=info msg=starting module=*updatemanager.GrafanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743865293Z level=info msg=starting module=*service.DashboardUpdater
grafana  | logger=http.server t=2026-04-05T18:40:36.78535838Z level=info msg="HTTP Server Listen" address=[::]:3000 protocol=http subUrl= socket=
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743995744Z level=info msg=starting module=*supportbundlesimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743870756Z level=info msg=starting module=*loginattemptimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744025689Z level=info msg=starting module=*notifications.NotificationService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744038339Z level=info msg=starting module=*migrations.SecretMigrationProviderImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744047952Z level=info msg=starting module=*pushhttp.Gateway
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744013498Z level=info msg=starting module=*authz.EmbeddedZanzanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744084231Z level=info msg=starting module=*remotecache.RemoteCache
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744093944Z level=info msg=starting module=*manager.SecretsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744103472Z level=info msg=starting module=*rendering.RenderingService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744121481Z level=info msg=starting module=*manager.ServiceAccountsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744139309Z level=info msg=starting module=*ssosettingsimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744276498Z level=info msg=starting module=*metrics.InternalMetricsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744300406Z level=info msg=starting module=*pluginexternal.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744313042Z level=info msg=starting module=*service.UsageStats
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744326244Z level=info msg=starting module=*garbagecollectionworker.Worker
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744338859Z level=info msg=starting module=*ngalert.AlertNG
grafana  | logger=ngalert t=2026-04-05T18:40:36.806204587Z level=info msg="Primary node, alert rule evaluation enabled"
grafana  | logger=ngalert.state.manager t=2026-04-05T18:40:36.806290461Z level=info msg="Warming state cache for startup"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.744060346Z level=info msg=starting module=*cleanup.CleanUpService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.74435251Z level=info msg=starting module=*store.dummyEntityEventsService
grafana  | logger=ngalert.multiorg.alertmanager t=2026-04-05T18:40:36.819972106Z level=info msg="Starting MultiOrg Alertmanager"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.743853377Z level=info msg=starting module=*dualwrite.ZanzanaReconciler
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:36.820581486Z level=info msg="All modules healthy"
grafana  | logger=ngalert.state.manager t=2026-04-05T18:40:36.926397532Z level=info msg="State cache has been initialized" states=0 duration=120.103934ms
grafana  | logger=ngalert.scheduler t=2026-04-05T18:40:36.926880082Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=3
grafana  | logger=ngalert.scheduler t=2026-04-05T18:40:36.9276696Z level=info msg=starting component=ticker first_tick=2026-04-05T18:40:40Z
grafana  | logger=plugins.update.checker t=2026-04-05T18:40:36.965508652Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana  | logger=plugins.update.checker t=2026-04-05T18:40:36.965694189Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana  | logger=plugins.update.checker t=2026-04-05T18:40:36.96580514Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana  | logger=plugins.update.checker t=2026-04-05T18:40:36.96598559Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana  | logger=plugins.update.checker t=2026-04-05T18:40:36.966111019Z level=info msg="Update check succeeded" duration=217.165852ms
grafana  | logger=plugins.update.checker t=2026-04-05T18:40:36.966146447Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana  | logger=grafana.update.checker t=2026-04-05T18:40:36.967097162Z level=info msg="Update check succeeded" duration=184.260841ms
grafana  | logger=context userId=1 orgId=1 uname=admin t=2026-04-05T18:40:37.336121864Z level=info msg="Request Completed" method=GET path=/api/live/ws status=-1 remote_addr=172.23.0.1 time_ms=15 duration=15.760394ms size=0 referer= handler=/api/live/ws status_source=server
grafana  | logger=bleve-backend namespace=default group=folder.grafana.app resource=folders size=0 reason=search t=2026-04-05T18:41:27.845064592Z level=info msg="Building index using memory"
