grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.851575774Z level=info msg="Adding GroupVersion dashboard.grafana.app v2alpha1 to ResourceManager"
grafana  | t=2026-04-23T19:59:44.85180943Z level=info caller=logger.go:214 time=2026-04-23T19:59:44.851798498Z msg="Zanzana is not enabled; skipping folder propagation hooks"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.852850464Z level=info msg="Adding GroupVersion folder.grafana.app v1beta1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.85462632Z level=info msg="Adding GroupVersion playlist.grafana.app v1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.856024146Z level=info msg="Adding GroupVersion playlist.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-23T19:59:44.856215436Z level=info caller=logger.go:214 time=2026-04-23T19:59:44.856199328Z msg="Installed APIs for app" app=playlist
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.858267791Z level=info msg="Adding GroupVersion plugins.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-23T19:59:44.858387727Z level=info caller=logger.go:214 time=2026-04-23T19:59:44.858378734Z msg="Installed APIs for app" app=plugins
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.859841235Z level=info msg="Adding GroupVersion example.grafana.app v1alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.86074409Z level=info msg="Adding GroupVersion example.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-23T19:59:44.860920413Z level=info caller=logger.go:214 time=2026-04-23T19:59:44.86091071Z msg="Installed APIs for app" app=example
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.867461946Z level=info msg="Adding GroupVersion notifications.alerting.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-23T19:59:44.867920735Z level=info caller=logger.go:214 time=2026-04-23T19:59:44.867902457Z msg="Installed APIs for app" app=alerting-notifications
grafana  | t=2026-04-23T19:59:45.458770863Z level=info caller=logger.go:214 time=2026-04-23T19:59:45.45874797Z msg="App initialized" app=plugins
grafana  | t=2026-04-23T19:59:45.459415444Z level=info caller=logger.go:214 time=2026-04-23T19:59:45.459400614Z msg="App initialized" app=alerting-notifications
grafana  | t=2026-04-23T19:59:45.459910043Z level=info caller=logger.go:214 time=2026-04-23T19:59:45.459893465Z msg="App initialized" app=playlist
grafana  | t=2026-04-23T19:59:45.460409111Z level=info caller=logger.go:214 time=2026-04-23T19:59:45.4603937Z msg="App initialized" app=example
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:45.460578389Z level=info msg=starting module=plugins.store
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:45.460834658Z level=info msg=starting module=plugin.backgroundinstaller
grafana  | logger=plugin.backgroundinstaller t=2026-04-23T19:59:45.460858196Z level=info msg="Plugins installed" plugins=[]
grafana  | logger=plugin.backgroundinstaller t=2026-04-23T19:59:45.460920141Z level=info msg="Installing plugins" plugins="[{ID:grafana-metricsdrilldown-app Version: URL:} {ID:grafana-lokiexplore-app Version: URL:} {ID:grafana-pyroscope-app Version: URL:} {ID:grafana-exploretraces-app Version: URL:}]"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:45.461357139Z level=info msg=starting module=provisioning
grafana  | logger=provisioning.datasources t=2026-04-23T19:59:45.509657884Z level=info msg="deleted datasource based on configuration" name=Prometheus
grafana  | logger=provisioning.datasources t=2026-04-23T19:59:45.511621776Z level=info msg="inserting datasource from configuration" name=Prometheus uid=PBFA97CFB590B2093
grafana  | logger=provisioning.plugins t=2026-04-23T19:59:46.123970651Z level=error msg="Failed to read plugin provisioning files from directory" path=/etc/grafana/provisioning/plugins error="open /etc/grafana/provisioning/plugins: no such file or directory"
grafana  | logger=provisioning.alerting t=2026-04-23T19:59:46.126409604Z level=error msg="can't read alerting provisioning files from directory" path=/etc/grafana/provisioning/alerting error="open /etc/grafana/provisioning/alerting: no such file or directory"
grafana  | logger=provisioning.alerting t=2026-04-23T19:59:46.12665979Z level=info msg="starting to provision alerting"
grafana  | logger=provisioning.alerting t=2026-04-23T19:59:46.127160325Z level=info msg="finished to provision alerting"
grafana  | logger=dashboard-service t=2026-04-23T19:59:46.133980024Z level=info msg="not eligible for automated cleanup" reason="dashboard has no folder: day18-dashboards"
grafana  | logger=provisioning.dashboard t=2026-04-23T19:59:46.159611162Z level=info msg="starting to provision dashboards"
grafana  | logger=provisioning.dashboard t=2026-04-23T19:59:46.361099676Z level=info msg="finished to provision dashboards"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.389079413Z level=info msg=starting module=*cleanup.CleanUpService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.39043959Z level=info msg=starting module=*service.DashboardUpdater
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.390838673Z level=info msg=starting module=*loginattemptimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.391124354Z level=info msg=starting module=*service.UsageStats
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.39311566Z level=info msg=starting module=*migrations.SecretMigrationProviderImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.393992896Z level=info msg=starting module=*garbagecollectionworker.Worker
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.39413217Z level=info msg=starting module=*updatemanager.GrafanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.401287241Z level=info msg=starting module=*service.DashboardServiceImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.40188222Z level=info msg=starting module=*store.standardStorageService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.417817693Z level=info msg=starting module=*authz.EmbeddedZanzanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.417924469Z level=info msg=starting module=*remotecache.RemoteCache
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.417958883Z level=info msg=starting module=*manager.ServiceAccountsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.423713501Z level=info msg=starting module=*api.HTTPServer
grafana  | logger=grafanaStorageLogger t=2026-04-23T19:59:46.420075643Z level=info msg="Storage starting"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.424095961Z level=info msg=starting module=*ngalert.AlertNG
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.424200196Z level=info msg=starting module=*manager.SecretsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.424661537Z level=info msg=starting module=*angulardetectorsprovider.Dynamic
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.432643438Z level=info msg=starting module=*supportbundlesimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.434303919Z level=info msg=starting module=*anonimpl.AnonDeviceService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.43458062Z level=info msg=starting module=*updatemanager.PluginsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.440030548Z level=info msg=starting module=*store.dummyEntityEventsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.440618637Z level=info msg=starting module=*rendering.RenderingService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.441231112Z level=info msg=starting module=*dualwrite.ZanzanaReconciler
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.441258682Z level=info msg=starting module=*statscollector.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.441268737Z level=info msg=starting module=*appregistry.Service
grafana  | logger=app-registry t=2026-04-23T19:59:46.466550717Z level=info msg="app registry initialized"
grafana  | logger=ngalert t=2026-04-23T19:59:46.441970402Z level=info msg="Primary node, alert rule evaluation enabled"
grafana  | logger=ngalert.state.manager t=2026-04-23T19:59:46.468702943Z level=info msg="Warming state cache for startup"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445122276Z level=info msg=starting module=*pushhttp.Gateway
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445167233Z level=info msg=starting module=*authimpl.UserAuthTokenService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445202997Z level=info msg=starting module=*notifications.NotificationService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445219541Z level=info msg=starting module=*pluginexternal.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.44523591Z level=info msg=starting module=*metric.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445252321Z level=info msg=starting module=*metrics.InternalMetricsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445283333Z level=info msg=starting module=*dynamic.KeyRetriever
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.445305821Z level=info msg=starting module=*ssosettingsimpl.Service
grafana  | logger=http.server t=2026-04-23T19:59:46.46534546Z level=info msg="HTTP Server Listen" address=[::]:3000 protocol=http subUrl= socket=
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.441284259Z level=info msg=starting module=*live.GrafanaLive
grafana  | logger=ngalert.multiorg.alertmanager t=2026-04-23T19:59:46.442250738Z level=info msg="Starting MultiOrg Alertmanager"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:46.477414741Z level=info msg="All modules healthy"
grafana  | logger=ngalert.state.manager t=2026-04-23T19:59:46.499306128Z level=info msg="State cache has been initialized" states=0 duration=30.60332ms
grafana  | logger=ngalert.scheduler t=2026-04-23T19:59:46.499426167Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=3
grafana  | logger=ngalert.scheduler t=2026-04-23T19:59:46.500223339Z level=info msg=starting component=ticker first_tick=2026-04-23T19:59:50Z
grafana  | logger=plugins.update.checker t=2026-04-23T19:59:46.597730022Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana  | logger=plugins.update.checker t=2026-04-23T19:59:46.597868906Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
